cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_V10m,max_V10m,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,landfalling_SLP,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais
2733.0,True,1219813.707481581,1188527.781132547,567878.0929152871,141969.52322882178,6.0,1995-01-07 03:00:00,1995-01-07 06:00:00,-76.0,274.6299133300781,0.853522204227583,8.889968872070312,2.709315899024536,10.03369140625,5.324114879592379,14.543133735656738,10.465160502988383,20.789228439331055,97207.59375,7.34637451171875,56.88740614309923,179.2317657470703,138.83227929303825,347.2073669433594,96729290706.2789,1231218542483.822
2735.0,True,964372.1866691374,795660.0650304648,58952.14419342437,29476.072096712185,12.0,1995-01-08 21:00:00,1995-01-09 06:00:00,-71.5,272.07733154296875,-3.792203337054628,1.5177671909332275,8.508035276540376,15.313753128051758,7.43824160671476,9.868497848510742,12.381609538209503,23.477619171142578,96750.7734375,1.65045166015625,48.19396443078976,96.9288330078125,176.96411142890034,377.114990234375,0.0,296738349800.8039
2736.0,True,824849.3412491798,685325.571848091,54340.83739130296,20377.814021738614,12.0,1995-01-09 12:00:00,1995-01-09 21:00:00,-69.0,269.9435119628906,-8.400122965652493,0.0,7.713524162509869,14.913183212280273,6.269893597363971,11.474287033081055,18.774849428033743,29.065452575683594,97191.84375,0.218963623046875,58.55509696149355,102.93418884277344,348.91232762359147,645.7322998046875,0.0,790635562104.938
2740.0,True,2262846.2803071872,2112468.9567080517,105471.75780822086,118655.72753424845,27.0,1995-01-24 00:00:00,1995-01-25 00:00:00,-76.5,279.20355224609375,6.461016173063086,19.23750877380371,11.773177223625089,21.582748413085938,14.506770601531917,25.0308837890625,23.75650053321482,39.18065643310547,94993.96875,9.236846923828125,263.3763831606864,626.0064086914062,494.44593341650466,982.3673706054688,1037725997306.2089,5195927241157.64
2742.0,True,469513.7015645674,469513.7015645674,20172.62313873272,2521.57789234159,3.0,1995-01-25 21:00:00,1995-01-25 21:00:00,-65.0,276.087158203125,5.0988943660971255,6.599775791168213,6.640935082862311,9.521651268005371,17.80057970582737,21.750558853149414,21.89489349820457,26.320871353149414,99274.1328125,5.33367919921875,222.88371600991078,250.9185028076172,308.66712728681847,393.03900146484375,50065070228.52753,95900088397.05055
2745.0,True,2062531.498740398,1946930.937618483,1439336.1577002727,899585.0985626703,15.0,1995-01-31 09:00:00,1995-01-31 21:00:00,-84.5,271.21337890625,-0.9797684602835641,6.798773288726807,0.4421532043959745,13.414007186889648,2.434041559849784,15.23127269744873,6.777173124457756,30.128253936767578,98089.8984375,6.5132904052734375,24.511606682452005,174.1534423828125,104.3149639674418,577.827880859375,0.0,7778168337616.364
2748.0,True,864479.3285985667,605730.7607612531,85660.43599633967,85660.43599633967,30.0,1995-02-01 03:00:00,1995-02-02 06:00:00,-73.5,268.4172058105469,-1.7761074622440678,6.5025787353515625,10.341990745943871,19.859102249145508,4.97477783189922,10.285122871398926,23.05410271309379,47.0561408996582,97278.15625,7.9829254150390625,60.64073303235093,164.88742065429688,472.77935117678544,1095.5606689453125,0.0,1689184315279.418
2754.0,True,1934213.7191322867,1439199.9466885056,192251.149988673,480627.8749716824,60.0,1995-02-04 18:00:00,1995-02-07 03:00:00,-75.5,272.91632080078125,-0.9519747111971959,7.4333367347717285,9.620796293108057,17.355112075805664,5.43971562309421,14.797422409057617,22.064644026256918,57.987125396728516,98495.28125,16.801788330078125,56.08725716807011,269.8997497558594,454.8969429481982,1301.310302734375,417235396.1674327,7278569587064.493
2756.0,True,1695412.2313025044,1546642.4378575392,2495.036808108514,1247.518404054257,12.0,1995-02-11 03:00:00,1995-02-11 12:00:00,-65.0,273.9735107421875,6.245808945622117,7.381252288818359,10.931027527400534,22.893383026123047,14.344821212054468,16.570819854736328,26.415188281681544,43.65675735473633,97136.9921875,5.655670166015625,207.60091512731256,220.54612731933594,452.08040221245267,897.4678344726562,46258726860.44768,227156521498.46414
2758.0,True,2191535.9557407284,1742927.5452008494,496432.0383444107,1551350.1198262833,81.0,1995-02-17 09:00:00,1995-02-20 15:00:00,-85.0,276.19415283203125,6.007894060816648,15.729175567626953,10.989629742018714,28.459012985229492,8.331370255192741,17.418682098388672,15.599172977771397,45.950374603271484,94545.453125,16.429428100585938,121.5033858010908,451.70977783203125,362.66990526224834,1496.50341796875,227700889787.6377,18167236263050.125
