date	expver	temp2m	ewvf	swvf	latitude	longitude
2000-01-01	1	-29.813278			-75.0	123.0
2000-01-01	5				-75.0	123.0
2000-01-02	1	-30.36557			-75.0	123.0
2000-01-02	5				-75.0	123.0
2000-01-03	1	-30.919617			-75.0	123.0
2000-01-03	5				-75.0	123.0
2000-01-04	1	-31.835098			-75.0	123.0
2000-01-04	5				-75.0	123.0
2000-01-05	1	-31.205048			-75.0	123.0
2000-01-05	5				-75.0	123.0
2000-01-06	1	-29.485443			-75.0	123.0
2000-01-06	5				-75.0	123.0
2000-01-07	1	-31.38089			-75.0	123.0
2000-01-07	5				-75.0	123.0
2000-01-08	1	-31.818314			-75.0	123.0
2000-01-08	5				-75.0	123.0
2000-01-09	1	-31.817429			-75.0	123.0
2000-01-09	5				-75.0	123.0
2000-01-10	1	-29.71077			-75.0	123.0
2000-01-10	5				-75.0	123.0
2000-01-11	1	-25.882751			-75.0	123.0
2000-01-11	5				-75.0	123.0
2000-01-12	1	-26.204407			-75.0	123.0
2000-01-12	5				-75.0	123.0
2000-01-13	1	-26.116043			-75.0	123.0
2000-01-13	5				-75.0	123.0
2000-01-14	1	-27.442413			-75.0	123.0
2000-01-14	5				-75.0	123.0
2000-01-15	1	-28.183807			-75.0	123.0
2000-01-15	5				-75.0	123.0
2000-01-16	1	-28.277481			-75.0	123.0
2000-01-16	5				-75.0	123.0
2000-01-17	1	-29.423584			-75.0	123.0
2000-01-17	5				-75.0	123.0
2000-01-18	1	-28.40915			-75.0	123.0
2000-01-18	5				-75.0	123.0
2000-01-19	1	-25.591156			-75.0	123.0
2000-01-19	5				-75.0	123.0
2000-01-20	1	-29.31401			-75.0	123.0
2000-01-20	5				-75.0	123.0
2000-01-21	1	-30.127869			-75.0	123.0
2000-01-21	5				-75.0	123.0
2000-01-22	1	-30.181763			-75.0	123.0
2000-01-22	5				-75.0	123.0
2000-01-23	1	-30.628906			-75.0	123.0
2000-01-23	5				-75.0	123.0
2000-01-24	1	-30.31343			-75.0	123.0
2000-01-24	5				-75.0	123.0
2000-01-25	1	-30.333755			-75.0	123.0
2000-01-25	5				-75.0	123.0
2000-01-26	1	-31.038925			-75.0	123.0
2000-01-26	5				-75.0	123.0
2000-01-27	1	-32.00917			-75.0	123.0
2000-01-27	5				-75.0	123.0
2000-01-28	1	-33.629807			-75.0	123.0
2000-01-28	5				-75.0	123.0
2000-01-29	1	-33.3656			-75.0	123.0
2000-01-29	5				-75.0	123.0
2000-01-30	1	-34.08313			-75.0	123.0
2000-01-30	5				-75.0	123.0
2000-01-31	1	-34.601837			-75.0	123.0
2000-01-31	5				-75.0	123.0
2000-02-01	1	-33.878998			-75.0	123.0
2000-02-01	5				-75.0	123.0
2000-02-02	1	-34.791824			-75.0	123.0
2000-02-02	5				-75.0	123.0
2000-02-03	1	-33.17296			-75.0	123.0
2000-02-03	5				-75.0	123.0
2000-02-04	1	-34.550583			-75.0	123.0
