date	temp2m	ewvf	swvf	latitude	longitude
2000-04-01	-52.494324	-1.2829915	-0.84034204	-75.0	123.0
2000-04-02	-50.790833	-1.8255298	-1.1487303	-75.0	123.0
2000-04-03	-52.20668	2.5369022	-1.1694093	-75.0	123.0
2000-04-04	-53.550034	1.9029789	-2.7778845	-75.0	123.0
2000-04-05	-53.476776	-1.145433	-0.7486348	-75.0	123.0
2000-04-06	-58.17775	-0.7000513	-0.7962866	-75.0	123.0
2000-04-07	-55.97841	-1.052124	-1.3303471	-75.0	123.0
2000-04-08	-56.706375	0.57837695	-1.1891894	-75.0	123.0
2000-04-09	-60.33313	0.80732054	-1.4634123	-75.0	123.0
2000-04-10	-59.056854	2.9428442	-2.6708922	-75.0	123.0
2000-04-11	-60.06862	2.8476114	-1.9615092	-75.0	123.0
2000-04-12	-60.756485	1.7211707	-2.076593	-75.0	123.0
2000-04-13	-58.5587	1.7173231	-2.826435	-75.0	123.0
2000-04-14	-55.828033	1.2873323	-4.2119355	-75.0	123.0
2000-04-15	-54.786194	3.5248225	-4.1229253	-75.0	123.0
2000-04-16	-54.90573	3.6720002	-3.0934653	-75.0	123.0
2000-04-17	-60.262177	4.9436946	-3.5807729	-75.0	123.0
2000-04-18	-60.162704	4.1414304	-2.999061	-75.0	123.0
2000-04-19	-59.50798	2.2367747	-3.1015573	-75.0	123.0
2000-04-20	-61.98108	2.0761294	-2.6493144	-75.0	123.0
2000-04-21	-61.395004	1.1507359	-2.2474203	-75.0	123.0
2000-04-22	-62.742218	0.51585037	-1.8850865	-75.0	123.0
2000-04-23	-63.551163	1.0882092	-1.1810975	-75.0	123.0
2000-04-24	-67.507965	1.6528726	-1.232346	-75.0	123.0
2000-04-25	-68.304565	1.2777128	0.07493305	-75.0	123.0
2000-04-26	-64.76341	-0.6596495	-0.012278557	-75.0	123.0
2000-04-27	-60.51204	-0.8770496	-0.9023795	-75.0	123.0
2000-04-28	-55.04608	-2.7509234	-0.7432399	-75.0	123.0
2000-04-29	-54.127625	-1.767813	0.4651389	-75.0	123.0
2000-04-30	-53.092743	-1.3811102	1.0162821	-75.0	123.0
2000-05-01	-54.18161	2.268519	1.9944937	-75.0	123.0
2000-05-02	-52.499725	3.8451507	1.0180802	-75.0	123.0
2000-05-03	-54.82167	4.9100266	0.87872124	-75.0	123.0
2000-05-04	-56.96472	1.219034	-1.0426378	-75.0	123.0
2000-05-05	-51.24196	-2.4238613	0.052455902	-75.0	123.0
2000-05-06	-50.041275	-1.7639654	-0.05543518	-75.0	123.0
2000-05-07	-58.138412	0.03968638	0.17293406	-75.0	123.0
2000-05-08	-60.04933	0.63897973	0.14146614	-75.0	123.0
2000-05-09	-63.030624	0.33500427	0.19001675	-75.0	123.0
2000-05-10	-64.252914	0.0752784	-0.2900982	-75.0	123.0
2000-05-11	-61.515305	-0.63656276	1.5458469	-75.0	123.0
2000-05-12	-57.355698	-0.32873955	1.8128772	-75.0	123.0
2000-05-13	-56.79738	0.32923263	1.9540346	-75.0	123.0
2000-05-14	-48.283813	0.40041667	5.153901	-75.0	123.0
2000-05-15	-50.973602	0.2041794	1.8839054	-75.0	123.0
2000-05-16	-58.10988	-1.0367329	0.2655406	-75.0	123.0
2000-05-17	-55.89897	0.25804847	2.7263541	-75.0	123.0
2000-05-18	-50.861008	0.28498298	3.4734993	-75.0	123.0
2000-05-19	-49.418182	-2.6595385	2.4341495	-75.0	123.0
2000-05-20	-48.877594	-2.2026134	3.2918828	-75.0	123.0
2000-05-21	-53.08426	-0.7952841	0.436368	-75.0	123.0
2000-05-22	-57.408905	-0.49323258	-0.050040722	-75.0	123.0
2000-05-23	-57.715042	1.5085804	-0.09049988	-75.0	123.0
2000-05-24	-58.801605	0.87561876	-0.05633402	-75.0	123.0
2000-05-25	-62.096756	0.8833143	-1.6773963	-75.0	123.0
2000-05-26	-57.123566	-0.48938477	-1.6108632	-75.0	123.0
2000-05-27	-62.232483	-1.0078745	-0.40608072	-75.0	123.0
2000-05-28	-64.75957	1.4133475	-0.07341671	-75.0	123.0
2000-05-29	-61.792923	11.166533	-0.25323534	-75.0	123.0
2000-05-30	-48.529037	14.592991	5.560291	-75.0	123.0
2000-05-31	-53.751312	3.1217663	-0.7765064	-75.0	123.0
2000-06-01	-55.27974	1.8481479	-1.5811934	-75.0	123.0
2000-06-02	-59.107758	0.09355545	0.15495253	-75.0	123.0
2000-06-03	-54.991333	-1.8120627	0.771729	-75.0	123.0
