Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1980_1,1906980,14234,26690,45,-74.5,West,4.7333984375,19.393877029418945,12.256675720214844,4.899357726219426,0.001312164530681508,0.055527140754433824,-0.3270161682546089,26.41333770751953,278.4291687011719
1980_2,1755659,190118,332707,42,-74.0,East 2,9.100540161132812,15.27122402191162,9.018205642700195,5.984890208056037,0.014628407424603466,0.6939885231035127,-0.377549946308136,27.33218765258789,236.8226776123047
1980_5,2564243,1069995,1604992,36,-85.0,East 1,12.359954833984377,16.230388641357422,10.178874969482422,3.984146319149872,0.04575825058333676,1.5963624631697058,-0.4621774999089971,24.461036682128903,358.4985046386719
1980_6,1919206,980,857,21,-69.5,East 1,3.037811279296875,9.083024978637695,3.007913589477539,4.265896077931395,6.16832560580904e-07,0.007626536813774725,-0.1832243550492155,26.42292594909668,99.3427963256836
1980_7,2525372,224373,532885,57,-85.0,East 2,8.477935791015625,16.229188919067383,10.95521068572998,3.767811702113578,0.00022079047595268474,0.26303455378626,-0.4310337264879146,25.958396911621094,151.04830932617188
1980_8,1543501,216648,541622,60,-76.0,East 2,11.695755004882812,12.865618705749512,6.897138595581055,6.584867182423457,0.0,0.9248151523081473,-0.6862203280561696,28.57518768310547,177.10472106933594
1980_11,430513,5461,2048,9,-71.5,East 1,1.089996337890625,11.532064437866213,6.148045063018799,4.043010037372526,0.0,0.006804444067971573,-0.2935959705708605,15.239788055419922,120.7286376953125
1980_12,1644734,97258,85101,21,-72.5,East 2,10.109649658203123,13.71030330657959,8.101110458374023,5.772660257386433,0.0,0.2678399726264112,-0.3532523155201757,32.898399353027344,165.07777404785156
1980_13,1583018,702175,789947,27,-83.0,East 2,17.606353759765625,17.736913681030273,11.656103134155272,6.401629456202568,0.017190265629576623,0.9065492439495452,-0.3614369922182419,31.949996948242188,355.5189819335937
1980_14,1863410,64524,88721,33,-72.0,East 1,1.58258056640625,10.30144214630127,4.941656589508057,7.7170058181332335,0.0,0.2654439883470974,-0.6308901297838425,28.515548706054688,229.1172332763672
1980_15,1447484,233003,553384,57,-80.0,East 2,14.974441528320312,13.048726081848145,8.562448501586914,3.975198544181138,0.0015108577956864223,1.2333422916269938,-0.6428210460638324,25.09225273132324,244.53366088867188
